Code,Long,Lat,Name
530100,102.875087,25.387108,Kunming
530300,103.937557,25.704072,Qujing
530400,102.199023,24.138158,Yuxi
530500,98.972381,24.979258,Baoshan
530600,104.000966,27.653210,Shaotong
530700,100.524862,26.942247,Lijiang
530800,100.721926,23.188143,Pu'er
530900,99.677238,23.942961,Lincang
532300,101.570241,25.353490,Chuxiong
532500,103.036551,23.439763,Honghe
532600,104.714431,23.691505,Wenshan
532800,100.943324,21.934988,Xishuangbanna
532900,100.039313,25.729209,Dali
533100,98.090535,24.559584,Dehonh
533300,98.873675,26.960339,Nujiang
533400,99.441385,27.958345,Diqing
540100,91.107563,30.034299,Lasa
542100,97.057928,30.789756,Changdu
542200,91.697217,28.722720,Shannan
542300,86.429333,29.515009,Rikaze
542400,88.881745,32.938951,Naqu
542500,82.240543,32.834483,Ali
542600,95.243974,29.500585,Linzhi
610100,108.790893,34.110210,Xi'an
610200,109.175396,35.298306,Tongchuan
610300,107.201996,34.379097,Baoji
610400,108.449311,34.827948,Xianyang
610500,109.858030,34.952890,Weinan
610600,109.318034,36.439333,Yan'an
610700,107.103208,33.088555,Hanzhou
610800,109.564304,38.039271,Yulin (Shanxi)
610900,108.927389,32.758973,Ankang
611000,109.898934,33.648684,Shangluo
620100,103.633790,36.358182,Lanzhou
620200,98.195990,39.816528,Jiayuguan
620300,102.050724,38.427317,Jinchang
620400,104.622106,36.612483,Baiyin
620500,105.739952,34.650149,Tianshui
620600,103.053820,38.175358,Wuwei
620700,99.894448,38.919734,Zhangye
620800,106.651098,35.306546,Pingliang
620900,96.243790,40.459792,Jiuquan
621000,107.591450,36.166048,Qingyang
621100,104.451532,35.120553,Dongxi
621200,105.210210,33.595114,Longnan
622900,103.277183,35.629944,Linxia
623000,102.744877,34.334700,Gannan
630100,101.450944,36.815196,Xining
632100,102.338822,36.334094,Haidong
632200,100.268310,37.800898,Haibei
632300,101.628933,35.029766,Huangnan
632500,109.715084,19.197994,Hainan
632600,99.392275,34.111415,Guoluo
632700,93.696626,34.111323,Yushu
632800,95.117616,37.283491,Haixi
640100,106.339873,38.220614,Yinchuan
640200,106.517862,38.975870,Shizuishan
640300,106.496413,37.437126,Wuzhou (Ningxia)
640400,106.182941,35.949801,Guyuan
640500,105.474079,37.052688,Zhongwei
650100,87.812561,43.530939,Urumuqi
650200,85.168404,45.427375,Kelamayi
652100,89.842775,42.384446,Tulufan
652200,93.499876,43.045631,Hami
652300,88.569767,44.350973,Changji
652700,82.075459,44.937186,Bozhou (Xinjiang)
652800,86.147910,41.760763,Bazhou (Xinjiang)
652900,81.555062,40.957628,Akesu
653000,76.169927,39.713058,Kezhou
653100,77.224821,38.187020,Kashi
653200,80.913719,37.084342,Hetian (Xinjiang)
654000,82.098854,43.450897,Yili
654200,84.802595,45.630739,Tacheng
654300,88.403069,46.907522,Aletai
659001,86.036265,44.307018,Shihezi
659002,81.271656,40.543424,Ala'er
659003,79.058191,39.864045,Tumushuke
659004,87.547583,44.158160,Wujiaqu (Xinjiang)
659004,87.547583,44.158160,Beitun
659004,87.547583,44.158160,Wujiaqushi (Xinjiang)
659006,85.504762,41.827092,Tiemenguan
659007,82.349195,44.845303,Shuanghe
659008,81.038417,43.946515,Kekedala
710000,120.956586,23.752633,Taiwan
810000,114.134965,22.381121,Hongkong
820000,113.560651,22.163195,Macao
900001,79.919038,37.106498,Hetianxian (Xinjiang)
900002,79.732518,37.272836,Moyu
900003,81.673550,36.857087,Yutian
900004,103.160614,23.364833,Gejiu
